id_klienta,wiek,zawod,stan_cywilny,wyksztalcenie,debet,hipoteka,pozyczka,liczba_kontaktow,przerwa,poprzednie,poprzedni_wynik,zmiennosc_zatrudnienia,CPI,CCI,EURIBOR3M,wskaznik_zatrudnienia,rezultat
10070,35,blue-collar,married,basic.4y,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
10071,29,technician,single,university.degree,no,yes,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10072,32,admin.,single,university.degree,no,yes,no,2,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes
10073,28,blue-collar,single,basic.9y,unknown,no,no,3,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
10074,43,admin.,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
10075,49,technician,married,professional.course,no,yes,no,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
10076,52,management,married,university.degree,unknown,yes,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
10077,57,technician,divorced,unknown,no,yes,yes,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10078,26,blue-collar,single,basic.9y,no,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
10079,45,admin.,single,basic.9y,unknown,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
10080,50,technician,married,professional.course,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
10081,37,blue-collar,single,basic.9y,unknown,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,yes
10082,41,services,divorced,basic.9y,no,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10083,41,self-employed,married,basic.9y,no,no,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10084,38,services,married,high.school,no,no,yes,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
10085,26,blue-collar,single,basic.9y,no,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
10086,39,blue-collar,married,basic.9y,unknown,yes,no,4,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
10087,53,self-employed,divorced,university.degree,no,no,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
10088,43,housemaid,married,basic.4y,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10089,57,admin.,married,high.school,no,no,no,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
10090,40,technician,single,university.degree,no,yes,yes,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
10091,28,blue-collar,single,basic.9y,no,no,no,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
10092,29,blue-collar,married,basic.4y,no,yes,yes,2,999,0,nonexistent,-1.8,92.843,-50,1.556,5099.1,no
10093,29,admin.,single,university.degree,no,no,yes,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10094,46,admin.,married,high.school,no,yes,no,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
10095,51,blue-collar,married,basic.6y,no,yes,no,2,999,0,nonexistent,-1.8,93.075,-47.1,1.372,5099.1,no
10096,40,technician,married,basic.9y,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10097,17,student,single,basic.9y,no,unknown,unknown,2,999,1,failure,-2.9,92.201,-31.4,0.869,5076.2,yes
10098,49,admin.,single,high.school,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10099,33,admin.,married,basic.9y,no,yes,yes,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
10100,37,blue-collar,married,basic.9y,unknown,no,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10101,46,unemployed,divorced,basic.9y,no,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10102,48,blue-collar,married,basic.4y,unknown,no,yes,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
10103,30,blue-collar,married,basic.6y,no,no,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10104,34,entrepreneur,single,basic.9y,no,no,no,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
10105,33,admin.,married,university.degree,no,yes,yes,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
10106,31,blue-collar,married,basic.9y,no,no,no,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
10107,20,student,single,high.school,no,yes,no,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
10108,57,technician,married,professional.course,no,no,no,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10109,50,blue-collar,divorced,high.school,no,no,no,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
10110,29,management,married,university.degree,no,no,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
10111,39,management,married,university.degree,no,no,no,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8,no
10112,24,blue-collar,married,basic.9y,no,no,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
10113,34,admin.,married,high.school,no,no,yes,2,999,0,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,no
10114,31,self-employed,married,university.degree,no,no,yes,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
10115,41,technician,single,high.school,no,yes,no,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
10116,49,blue-collar,married,basic.4y,no,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10117,35,blue-collar,married,basic.6y,no,no,no,4,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
10118,48,technician,married,high.school,no,yes,no,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,yes
10119,41,self-employed,married,basic.9y,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
10120,31,technician,married,university.degree,no,no,no,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
10121,40,blue-collar,married,basic.6y,unknown,unknown,unknown,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
10122,43,admin.,single,high.school,no,no,no,2,999,1,failure,-1.8,93.075,-47.1,1.453,5099.1,no
10123,50,technician,married,professional.course,no,unknown,unknown,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
10124,52,blue-collar,married,basic.9y,unknown,unknown,unknown,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10125,42,admin.,single,university.degree,no,unknown,unknown,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
10126,30,admin.,single,high.school,no,yes,no,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
10127,29,admin.,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10128,25,services,married,high.school,unknown,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
10129,25,blue-collar,single,basic.9y,unknown,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10130,62,retired,married,university.degree,no,yes,no,1,6,1,success,-3,92.713,-33,0.706,5023.5,yes
10131,54,unemployed,married,basic.9y,no,no,no,1,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,yes
10132,43,technician,single,professional.course,no,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10133,43,retired,married,basic.9y,unknown,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10134,46,blue-collar,married,basic.6y,unknown,no,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10135,22,self-employed,single,professional.course,no,yes,no,1,999,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,yes
10136,53,entrepreneur,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
10137,59,admin.,divorced,professional.course,no,yes,no,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,no
10138,36,admin.,single,university.degree,no,no,no,3,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
10139,30,technician,single,high.school,no,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
10140,30,blue-collar,single,high.school,unknown,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
10141,57,admin.,married,high.school,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
10142,71,retired,married,professional.course,no,yes,no,3,999,0,nonexistent,-1.7,94.215,-40.3,0.884,4991.6,no
10143,44,admin.,married,high.school,no,yes,yes,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10144,52,admin.,married,professional.course,no,yes,yes,2,6,1,success,-1.7,94.215,-40.3,0.893,4991.6,yes
10145,40,admin.,married,university.degree,no,yes,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10146,37,admin.,married,high.school,no,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
10147,28,management,single,university.degree,no,no,no,1,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5,yes
10148,31,technician,married,university.degree,no,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
10149,28,technician,single,high.school,no,no,no,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10150,31,services,single,high.school,unknown,no,no,2,999,1,failure,-0.1,93.2,-42,4.191,5195.8,no
10151,29,services,married,high.school,no,no,no,10,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
10152,58,technician,married,professional.course,no,yes,yes,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10153,39,blue-collar,married,basic.6y,unknown,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10154,41,blue-collar,married,basic.4y,unknown,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
10155,47,self-employed,married,university.degree,no,no,no,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
10156,38,blue-collar,married,basic.6y,unknown,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10157,27,student,single,basic.9y,no,yes,yes,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
10158,40,admin.,married,high.school,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10159,63,housemaid,married,basic.4y,no,yes,no,1,6,2,failure,-2.9,92.201,-31.4,0.884,5076.2,yes
10160,44,blue-collar,single,basic.4y,unknown,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10161,29,admin.,single,basic.9y,unknown,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10162,50,admin.,divorced,basic.9y,no,no,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10163,53,self-employed,divorced,university.degree,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
10164,55,retired,married,high.school,unknown,yes,no,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
10165,26,admin.,single,basic.9y,no,no,no,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
10166,45,blue-collar,married,basic.9y,no,yes,no,5,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
10167,41,blue-collar,married,high.school,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
10168,45,blue-collar,married,basic.9y,no,no,no,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
10169,48,admin.,married,university.degree,no,yes,no,7,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
10170,42,self-employed,married,university.degree,no,no,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
10171,38,technician,divorced,high.school,unknown,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10172,38,admin.,married,university.degree,no,yes,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10173,57,technician,married,professional.course,no,no,no,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,no
10174,53,self-employed,married,professional.course,no,yes,no,31,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
10175,36,admin.,married,basic.6y,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
10176,35,admin.,single,university.degree,no,no,no,13,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
10177,58,admin.,divorced,university.degree,unknown,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10178,43,admin.,married,high.school,no,yes,no,10,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
10179,45,unemployed,divorced,basic.6y,no,unknown,unknown,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
10180,53,blue-collar,married,basic.9y,unknown,yes,yes,20,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
10181,38,technician,single,professional.course,unknown,yes,no,5,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
10182,24,services,single,professional.course,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10183,37,admin.,single,high.school,no,yes,no,5,999,2,failure,-1.8,92.893,-46.2,1.25,5099.1,yes
10184,49,housemaid,divorced,basic.6y,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
10185,49,management,married,university.degree,no,no,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10186,58,housemaid,married,basic.4y,unknown,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
10187,61,retired,married,university.degree,no,no,no,1,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,no
10188,50,self-employed,divorced,university.degree,no,yes,no,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
10189,36,management,single,high.school,no,yes,no,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
10190,39,housemaid,married,basic.4y,no,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
10191,24,student,single,high.school,no,yes,no,1,1,2,success,-1.8,93.876,-40,0.672,5008.7,no
10192,45,blue-collar,divorced,basic.9y,no,yes,no,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
10193,54,technician,married,professional.course,no,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10194,56,unknown,divorced,basic.4y,no,no,no,12,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
10195,52,blue-collar,divorced,basic.4y,no,yes,no,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10196,38,admin.,single,university.degree,unknown,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
10197,56,unemployed,divorced,basic.4y,no,yes,no,1,999,1,failure,-1.8,93.369,-34.8,0.634,5008.7,yes
10198,30,services,single,high.school,unknown,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10199,32,blue-collar,married,basic.4y,no,yes,no,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
10200,54,blue-collar,married,basic.9y,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
10201,34,admin.,divorced,university.degree,no,no,no,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
10202,36,services,married,high.school,no,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
10203,58,retired,divorced,university.degree,no,no,no,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
10204,31,services,married,high.school,no,yes,no,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10205,50,admin.,married,basic.9y,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10206,44,unknown,married,basic.6y,no,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
10207,33,blue-collar,single,basic.9y,unknown,yes,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10208,31,admin.,married,university.degree,no,yes,no,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
10209,56,retired,married,high.school,unknown,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
10210,41,blue-collar,married,basic.9y,no,yes,no,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
10211,47,services,divorced,basic.9y,unknown,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
10212,29,admin.,married,university.degree,no,yes,no,9,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
10213,58,retired,married,professional.course,unknown,no,no,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
10214,53,blue-collar,married,basic.4y,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10215,55,admin.,divorced,university.degree,unknown,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
10216,36,blue-collar,married,basic.9y,unknown,yes,no,6,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10217,58,unemployed,married,basic.4y,unknown,no,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
10218,34,technician,married,university.degree,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
10219,34,services,married,high.school,no,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
10220,34,technician,single,professional.course,no,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
10221,49,unemployed,married,basic.4y,unknown,yes,no,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
10222,40,technician,divorced,professional.course,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
10223,39,technician,single,professional.course,no,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
10224,53,self-employed,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
10225,30,self-employed,single,university.degree,no,no,no,5,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
10226,41,admin.,married,high.school,no,no,no,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
10227,39,unemployed,married,university.degree,no,yes,no,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
10228,50,self-employed,married,basic.9y,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
10229,31,blue-collar,married,basic.9y,no,yes,no,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
10230,32,admin.,single,professional.course,no,yes,yes,1,999,0,nonexistent,-1.8,92.843,-50,1.614,5099.1,no
10231,41,blue-collar,married,basic.9y,no,no,no,1,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5,no
10232,37,entrepreneur,divorced,high.school,unknown,no,no,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
