id_klienta,wiek,zawod,stan_cywilny,wyksztalcenie,debet,hipoteka,pozyczka,liczba_kontaktow,przerwa,poprzednie,poprzedni_wynik,zmiennosc_zatrudnienia,CPI,CCI,EURIBOR3M,wskaznik_zatrudnienia
38065,44,admin.,married,high.school,no,yes,yes,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
38066,32,blue-collar,married,basic.9y,no,no,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
38067,34,services,single,high.school,no,no,no,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
38068,62,retired,married,professional.course,no,no,no,1,999,0,nonexistent,-1.8,93.876,-40,0.677,5008.7
38069,32,self-employed,single,professional.course,unknown,no,no,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
38070,44,admin.,married,university.degree,unknown,yes,yes,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
38071,56,admin.,divorced,high.school,no,yes,no,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38072,73,retired,married,university.degree,no,no,yes,7,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5
38073,45,admin.,married,university.degree,no,no,no,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
38074,54,admin.,married,high.school,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
38075,59,retired,married,unknown,no,no,no,2,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2
38076,50,services,married,high.school,no,yes,no,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8
38077,31,unemployed,single,university.degree,no,yes,no,9,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
38078,58,blue-collar,married,high.school,unknown,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
38079,31,technician,single,university.degree,no,yes,yes,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
38080,54,admin.,married,university.degree,unknown,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38081,56,blue-collar,married,basic.4y,unknown,no,no,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38082,33,self-employed,married,basic.9y,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38083,35,admin.,married,high.school,no,yes,no,2,999,2,failure,-1.8,92.893,-46.2,1.27,5099.1
38084,42,admin.,divorced,university.degree,no,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38085,34,technician,married,professional.course,no,no,no,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
38086,32,services,married,high.school,no,no,no,4,1,2,success,-1.8,92.893,-46.2,1.291,5099.1
38087,36,technician,married,professional.course,no,yes,no,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
38088,57,blue-collar,married,basic.4y,no,no,no,9,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38089,58,unemployed,divorced,professional.course,no,no,yes,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2
38090,22,blue-collar,single,basic.6y,unknown,unknown,unknown,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38091,57,blue-collar,married,basic.4y,unknown,yes,yes,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38092,44,admin.,married,high.school,no,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38093,36,admin.,single,university.degree,no,no,no,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7
38094,44,blue-collar,married,professional.course,no,no,no,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
38095,43,admin.,married,high.school,no,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38096,40,technician,single,high.school,no,no,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38097,50,admin.,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38098,31,admin.,single,university.degree,no,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
38099,36,services,single,high.school,no,yes,no,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38100,38,blue-collar,married,basic.6y,unknown,no,yes,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38101,55,unknown,married,basic.4y,unknown,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38102,33,admin.,single,university.degree,no,no,no,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2
38103,32,blue-collar,married,basic.9y,no,no,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38104,32,technician,single,professional.course,no,yes,no,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38105,47,blue-collar,divorced,basic.9y,no,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
38106,30,technician,divorced,high.school,no,no,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38107,27,admin.,married,high.school,no,yes,no,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
38108,39,entrepreneur,married,university.degree,no,unknown,unknown,4,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
38109,57,blue-collar,married,basic.4y,unknown,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38110,46,admin.,divorced,basic.6y,no,no,no,7,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1
38111,38,blue-collar,married,basic.4y,no,yes,no,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38112,47,management,married,basic.9y,no,yes,no,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5
38113,32,unemployed,married,high.school,unknown,yes,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38114,32,technician,married,professional.course,no,no,yes,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38115,29,admin.,single,university.degree,no,yes,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38116,52,housemaid,married,basic.4y,unknown,yes,yes,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38117,34,entrepreneur,married,university.degree,no,yes,yes,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
38118,29,technician,single,basic.9y,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
38119,28,self-employed,single,university.degree,no,yes,no,1,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1
38120,51,admin.,married,basic.4y,unknown,yes,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
38121,32,admin.,single,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38122,39,admin.,single,high.school,no,yes,no,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5
38123,46,services,married,unknown,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
38124,43,blue-collar,divorced,basic.9y,unknown,yes,no,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
38125,42,services,married,high.school,no,no,no,4,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
38126,54,blue-collar,married,high.school,no,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
38127,49,blue-collar,married,basic.9y,no,yes,no,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
38128,33,technician,married,professional.course,no,yes,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38129,45,unemployed,married,university.degree,no,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38130,39,services,single,high.school,no,no,no,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38131,34,technician,married,professional.course,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
38132,41,blue-collar,divorced,basic.9y,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
38133,45,entrepreneur,married,basic.9y,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
38134,34,technician,single,professional.course,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1
38135,35,entrepreneur,single,university.degree,no,no,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38136,33,blue-collar,single,basic.6y,unknown,no,no,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
38137,28,student,single,professional.course,no,no,no,2,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2
38138,57,admin.,divorced,unknown,unknown,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38139,36,admin.,single,university.degree,no,no,yes,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
38140,37,management,married,university.degree,no,unknown,unknown,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
38141,31,blue-collar,married,basic.9y,no,no,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38142,36,admin.,single,university.degree,no,yes,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
38143,53,management,married,basic.9y,unknown,no,yes,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38144,35,technician,married,professional.course,no,no,no,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1
38145,28,blue-collar,single,basic.9y,no,yes,no,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
38146,31,admin.,married,university.degree,no,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38147,41,blue-collar,single,basic.9y,no,no,no,4,999,1,failure,-0.1,93.2,-42,4.076,5195.8
38148,52,technician,married,professional.course,no,no,no,5,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5
38149,29,technician,single,professional.course,no,yes,yes,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
38150,41,blue-collar,married,basic.9y,no,yes,no,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
38151,55,technician,married,basic.9y,unknown,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38152,32,admin.,single,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38153,25,technician,single,university.degree,no,yes,no,2,999,1,failure,-2.9,92.201,-31.4,0.869,5076.2
38154,42,blue-collar,married,basic.6y,unknown,yes,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38155,37,self-employed,single,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38156,31,admin.,single,high.school,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
38157,85,housemaid,married,basic.4y,unknown,yes,no,1,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7
38158,32,technician,married,university.degree,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
38159,29,blue-collar,married,basic.9y,no,no,yes,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
38160,43,technician,married,professional.course,no,yes,no,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1
38161,30,admin.,single,university.degree,no,yes,no,1,6,1,success,-3.4,92.649,-30.1,0.722,5017.5
38162,33,technician,married,high.school,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38163,48,blue-collar,married,basic.9y,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
38164,31,blue-collar,married,basic.6y,no,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
38165,39,admin.,married,university.degree,unknown,yes,no,9,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
38166,58,retired,married,professional.course,unknown,no,yes,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38167,31,admin.,single,university.degree,no,yes,no,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6
38168,48,blue-collar,married,basic.6y,unknown,yes,no,5,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
38169,49,blue-collar,married,basic.4y,unknown,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38170,34,blue-collar,married,basic.9y,no,no,no,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
38171,31,admin.,married,university.degree,no,yes,no,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
38172,33,admin.,single,university.degree,no,no,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38173,37,technician,married,professional.course,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38174,52,retired,divorced,basic.4y,no,yes,yes,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38175,37,technician,divorced,high.school,no,no,no,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
38176,47,blue-collar,married,basic.9y,unknown,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
38177,28,blue-collar,married,basic.9y,unknown,no,no,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
38178,30,blue-collar,married,basic.4y,no,no,no,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
38179,29,admin.,married,high.school,no,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38180,45,blue-collar,married,basic.6y,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
38181,36,admin.,married,high.school,no,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
38182,49,services,married,high.school,no,yes,yes,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
38183,31,blue-collar,married,basic.6y,unknown,unknown,unknown,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
38184,43,admin.,divorced,high.school,no,no,no,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
38185,29,blue-collar,married,basic.9y,no,yes,no,2,999,2,failure,-1.8,92.893,-46.2,1.299,5099.1
38186,26,housemaid,single,high.school,unknown,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38187,39,technician,married,professional.course,no,yes,no,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
38188,39,blue-collar,married,basic.6y,no,no,yes,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
38189,39,admin.,married,basic.6y,unknown,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38190,40,admin.,single,university.degree,unknown,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38191,38,blue-collar,married,basic.4y,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
38192,34,admin.,single,university.degree,no,yes,yes,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38193,30,blue-collar,single,basic.6y,no,no,no,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
38194,30,student,single,professional.course,no,yes,no,4,999,2,failure,-1.7,94.215,-40.3,0.84,4991.6
38195,44,admin.,married,high.school,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38196,28,admin.,single,unknown,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38197,54,admin.,married,basic.4y,unknown,unknown,unknown,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
38198,28,management,single,unknown,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
38199,55,technician,married,professional.course,no,yes,yes,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38200,52,admin.,married,high.school,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38201,59,retired,married,basic.9y,unknown,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38202,58,retired,married,high.school,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38203,40,management,married,basic.6y,no,yes,no,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1
38204,31,admin.,single,high.school,no,yes,no,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
38205,36,blue-collar,single,basic.9y,unknown,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38206,46,technician,divorced,university.degree,no,no,no,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
38207,35,technician,married,professional.course,no,yes,no,1,999,2,failure,-1.1,94.199,-37.5,0.878,4963.6
38208,57,blue-collar,married,basic.4y,no,no,no,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
38209,49,services,married,basic.4y,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38210,50,entrepreneur,married,basic.4y,unknown,yes,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
38211,45,technician,divorced,basic.9y,no,no,no,4,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
38212,47,services,married,high.school,unknown,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
38213,38,admin.,married,university.degree,no,no,no,1,7,4,failure,-3.4,92.649,-30.1,0.714,5017.5
38214,36,management,divorced,university.degree,no,yes,no,1,3,4,success,-1.7,94.055,-39.8,0.72,4991.6
38215,31,services,single,high.school,no,yes,no,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38216,55,management,single,basic.4y,no,yes,no,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
38217,32,admin.,single,university.degree,no,yes,no,2,10,3,success,-1.1,94.199,-37.5,0.884,4963.6
38218,26,technician,single,professional.course,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
38219,42,services,single,basic.6y,no,yes,yes,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1
38220,33,admin.,single,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38221,40,self-employed,married,high.school,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38222,52,blue-collar,married,basic.4y,no,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38223,57,retired,married,university.degree,no,yes,no,1,999,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2
38224,36,admin.,single,university.degree,no,yes,no,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1
38225,55,housemaid,married,basic.4y,unknown,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
38226,24,blue-collar,single,basic.9y,no,yes,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38227,31,admin.,single,university.degree,no,no,yes,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38228,51,blue-collar,married,basic.9y,unknown,yes,yes,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
38229,57,blue-collar,divorced,basic.9y,no,yes,no,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
38230,44,admin.,single,basic.9y,unknown,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38231,46,services,married,high.school,unknown,yes,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38232,34,admin.,married,university.degree,no,no,yes,9,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
38233,36,entrepreneur,married,high.school,no,yes,no,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
38234,56,admin.,single,basic.9y,no,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38235,42,technician,married,professional.course,no,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38236,42,housemaid,married,basic.4y,unknown,yes,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38237,48,admin.,single,basic.6y,unknown,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38238,44,admin.,single,university.degree,no,no,yes,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38239,26,management,single,university.degree,no,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
38240,85,retired,married,professional.course,no,no,no,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2
